country_1,country_2,t_statistic,p_value
Afghanistan,Mozambique,2.15270862884148,0.03158840343788841
Afghanistan,Myanmar,4.394154198305666,1.2349492115470192e-05
Afghanistan,Namibia,1.9593598227040563,0.05035734767974861
Afghanistan,Nauru,0.16238477087777223,0.8710468361286322
Afghanistan,Nepal,5.217866995528927,2.2146667290023e-07
Afghanistan,Netherlands,10.218928957587421,2.3129673023226538e-23
Afghanistan,New Caledonia,1.2435868161714994,0.2141776412787144
Afghanistan,New Zealand,10.056149883883773,1.0520715983438851e-22
Afghanistan,Nicaragua,7.665656261343456,4.3060850718794803e-14
Afghanistan,Niger,0.8778991070179208,0.38021676461907206
Afghanistan,Nigeria,-1.7599347550983295,0.07873534144357812
Afghanistan,North Macedonia,9.371505351628564,4.799124580728898e-20
Afghanistan,Northern Mariana Islands,1.8602298684755434,0.06338271600407286
Afghanistan,Norway,10.344225042899724,7.097342348058815e-24
Afghanistan,Oman,9.663689182438008,3.62624045248973e-21
Afghanistan,Pakistan,4.536355946440885,6.443753224626226e-06
Afghanistan,Palau,3.370638218352091,0.0007884886332588202
Afghanistan,Panama,8.939726883507396,1.900292346301054e-18
Afghanistan,Papua New Guinea,4.692712810358457,3.0856943722510515e-06
Afghanistan,Paraguay,7.604731237552213,6.750010150425686e-14
Afghanistan,Peru,8.076983638846219,1.949199417490659e-15
Afghanistan,Philippines,7.002809615566883,4.6684295546821136e-12
Afghanistan,Poland,9.200050653989967,2.09313140940963e-19
Afghanistan,Portugal,9.907361430454882,4.0564021432506105e-22
Afghanistan,Puerto Rico (US),6.993434962779389,5.7019708959674645e-12
Afghanistan,Qatar,10.113759898218648,6.169803913154672e-23
Afghanistan,Romania,8.530815596662121,5.450782852910966e-17
Afghanistan,Russian Federation,6.673191620512664,4.1809975426183085e-11
Afghanistan,Rwanda,2.4100217579913457,0.016137220176557478
Afghanistan,Samoa,7.597148400085914,7.152112746762932e-14
Afghanistan,San Marino,7.5186945272324754,1.5862282018948566e-13
Afghanistan,Sao Tome and Principe,5.9342046910051405,4.111396850062818e-09
Afghanistan,Saudi Arabia,9.388375724134711,4.254221691695066e-20
Afghanistan,Senegal,3.906446042481888,0.00010018511016944704
Afghanistan,Serbia,8.978773617775243,1.36773345707113e-18
Afghanistan,Seychelles,8.140592266584086,1.2082971677547674e-15
Afghanistan,Sierra Leone,-1.3813992047248247,0.1674756768195561
Afghanistan,Singapore,10.341985093499064,7.26768963668515e-24
Afghanistan,Sint Maarten (Dutch part),1.6322084093584939,0.10320382434494824
Afghanistan,Slovak Republic,9.386287313125507,4.251409981825332e-20
Afghanistan,Slovenia,9.713957993806288,2.3936204267745488e-21
Afghanistan,Solomon Islands,6.606691366795739,6.48650873397232e-11
Afghanistan,Somalia,-1.3920459348159446,0.16422954530610054
Afghanistan,South Africa,3.4217141284687895,0.0006479858822315491
Afghanistan,South Sudan,-1.87953231568428,0.060472660904632734
Afghanistan,Spain,10.305139605460829,1.0382748617924502e-23
Afghanistan,Sri Lanka,8.719837291706828,1.170838058542596e-17
Afghanistan,St. Kitts and Nevis,4.302296144426538,1.915391989513618e-05
Afghanistan,St. Lucia,8.270239520584289,4.3352596288586495e-16
Afghanistan,St. Martin (French part),2.4708307555945126,0.01377978399187509
Afghanistan,St. Vincent and the Grenadines,8.012760304191332,3.167862748217477e-15
Afghanistan,Sudan,3.2583321177532,0.0011597347119160764
Afghanistan,Suriname,6.412430871553761,2.224641347849473e-10
Afghanistan,Sweden,10.264064330661984,1.5373220150278188e-23
Afghanistan,Switzerland,10.280581358154423,1.296852508608281e-23
Afghanistan,Syrian Arab Republic,8.135841178963696,1.2384070541133756e-15
Afghanistan,Tajikistan,7.459332651735757,1.9267775033244248e-13
Afghanistan,Tanzania,2.553766798382863,0.010808712656468
Afghanistan,Thailand,8.308460822481877,3.203459623639903e-16
Afghanistan,Timor-Leste,3.454021768437296,0.0005762578560442971
Afghanistan,Togo,2.4259228808707167,0.015451954658077893
Afghanistan,Tonga,7.779284561828499,1.870925434438144e-14
Afghanistan,Trinidad and Tobago,7.824059478866606,1.3235608737276621e-14
Afghanistan,Tunisia,8.938727719745488,1.961444763133878e-18
Afghanistan,Turkiye,9.20413535532833,2.0420472645283635e-19
Afghanistan,Turkmenistan,7.195619871325328,1.2349929702565708e-12
Afghanistan,Turks and Caicos Islands,6.04090538924472,2.4532845875387274e-09
Afghanistan,Tuvalu,1.6860172282228674,0.09221062803794705
Afghanistan,Uganda,2.635361601173704,0.00853914047957134
Afghanistan,Ukraine,7.271212342030743,7.284306008607285e-13
Afghanistan,United Arab Emirates,10.423435375986738,3.481688627621959e-24
Afghanistan,United Kingdom,9.99484516557284,1.8686229025055492e-22
Afghanistan,United States,9.405036575614126,3.5906170051788256e-20
